"filename", "language", "PHP", "Python", "Batch", "comment", "blank", "total"
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\Freundeempfehlung.php", "PHP", 110, 0, 0, 4, 32, 146
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\account_settings.php", "PHP", 205, 0, 0, 1, 40, 246
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\alle_beitraege_anzeigen.php", "PHP", 79, 0, 0, 13, 26, 118
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\alle_kommentare_anzeigen.php", "PHP", 29, 0, 0, 7, 10, 46
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\ausgabe_essenplan.php", "PHP", 98, 0, 0, 7, 22, 127
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\automatische_loeschen.bat", "Batch", 0, 0, 3, 0, 1, 4
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\automatische_loeschen.php", "PHP", 7, 0, 0, 0, 5, 12
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\bmi_rechner.php", "PHP", 171, 0, 0, 0, 28, 199
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\change_password.php", "PHP", 110, 0, 0, 0, 21, 131
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\chat.php", "PHP", 205, 0, 0, 5, 35, 245
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\create_password.php", "PHP", 71, 0, 0, 0, 20, 91
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\db_connection.php", "PHP", 9, 0, 0, 2, 7, 18
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\deleteAccount.php", "PHP", 18, 0, 0, 3, 8, 29
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\delete_friend.php", "PHP", 16, 0, 0, 6, 4, 26
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\essenplan_json.php", "PHP", 16, 0, 0, 0, 6, 22
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\essenplangenerator.php", "PHP", 124, 0, 0, 11, 32, 167
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\forgot_pass.php", "PHP", 61, 0, 0, 0, 15, 76
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\freunde.php", "PHP", 124, 0, 0, 8, 21, 153
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\freunde_hinzufuegen.php", "PHP", 102, 0, 0, 2, 18, 122
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\freundesempehlung.py", "Python", 0, 30, 0, 14, 16, 60
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\freundesliste.php", "PHP", 67, 0, 0, 7, 24, 98
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\freundschaft_ablehnen.php", "PHP", 21, 0, 0, 1, 7, 29
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\freundschaft_annehmen.php", "PHP", 21, 0, 0, 1, 7, 29
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\freundschaftsanfragen.php", "PHP", 39, 0, 0, 1, 11, 51
