"filename", "language", "Batch", "PHP", "CSS", "Python", "comment", "blank", "total"
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\Freundeempfehlung.php", "PHP", 0, 110, 0, 0, 4, 32, 146
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\account_settings.php", "PHP", 0, 205, 0, 0, 1, 40, 246
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\alle_beitraege_anzeigen.php", "PHP", 0, 78, 0, 0, 13, 23, 114
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\alle_kommentare_anzeigen.php", "PHP", 0, 29, 0, 0, 7, 10, 46
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\ausgabe_essenplan.php", "PHP", 0, 99, 0, 0, 7, 22, 128
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\automatische_loeschen.bat", "Batch", 3, 0, 0, 0, 0, 1, 4
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\automatische_loeschen.php", "PHP", 0, 70, 0, 0, 9, 11, 90
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\bmi_rechner.php", "PHP", 0, 171, 0, 0, 0, 28, 199
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\change_password.php", "PHP", 0, 116, 0, 0, 3, 17, 136
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\chat.css", "CSS", 0, 0, 186, 0, 0, 17, 203
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\chat.php", "PHP", 0, 205, 0, 0, 5, 35, 245
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\create_password.php", "PHP", 0, 71, 0, 0, 0, 20, 91
